ID,Product Name,Category,Discount %,Promotion Text,Images (JSON)
product-315,Bào Carbide Triangle X1 (F-Fine) / X2 (M-Medium) / X3(C-Coarse) / Bào phá X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu phẳng Flat) - Purple - Bền hơn Silver,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-316,Bào Carbide Triangle X1 (F-Fine) / X2 (M-Medium) / X3(C-Coarse) / Bào phá X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu phẳng Flat) - Purple - Bền hơn Silver,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-313,Bào Carbide Triangle X1 (F-Fine) / X2 (M-Medium) / X3(C-Coarse) / Bào phá X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu phẳng Flat) - Silver - Sắc hơn Purple,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-314,Bào Carbide Triangle X1 (F-Fine) / X2 (M-Medium) / X3(C-Coarse) / Bào phá X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu phẳng Flat) - Silver - Sắc hơn Purple,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-335,Bào Cuticle Diamond 2.5 / 4.5 / 5.5 - Bào Sần Biab,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-336,Bào Cuticle Diamond 2.5 / 4.5 / 5.5 - Bào Sần Biab,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-337,Bào Đĩa Disc M ( Bào cắt tràn sơn ),DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-338,Bào Đĩa Disc M ( Bào cắt tràn sơn ),DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-339,Bào Pedicure C ( Bào cạo da chết gót chân),DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-340,Bào Pedicure C ( Bào cạo da chết gót chân),DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-341,Bào Siêu phá S-X3 / S-X4 / S-X5,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-342,Bào Siêu phá S-X3 / S-X4 / S-X5,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-311,Mandrell ( lỗi bào sần ) - Chống rung - long life,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-312,Mandrell ( lỗi bào sần ) - Chống rung - long life,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-347,Flexibuild X  / Strongbuild / Strongbuild HF 240ml - 240ml,BIAB,40,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-343,Flexibuild X / Strongbuild / Strongbuild HF 15ml - 15ml,BIAB,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-344,Flexibuild X / Strongbuild / Strongbuild HF 15ml - 15ml,BIAB,10,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-345,Flexibuild X / Strongbuild / Strongbuild HF 15ml - box of 6,BIAB,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-346,Flexibuild X / Strongbuild / Strongbuild HF 15ml - Set 36 colors,BIAB,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-349,BlazingStar File Square - Vuông - 80/80 - 100/100,NAIL FILE,15,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-348,BlazingStar File Straight - Tròn - 80/80 - 100/100 - 180/240,NAIL FILE,15,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-351,JK File Square - 80/80,NAIL FILE,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-350,JK File Straight - 80/80,NAIL FILE,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-356,Bold Berry LED LAMP,ELECTRICAL,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-370,BlazingStar FX200 Portable Drill,ELECTRICAL,10,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-366,Tay bào X5 Plus (dây mặc định cho Super UP200),ELECTRICAL,10,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-364,Masterled LED Lamp,ELECTRICAL,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-360,MBerry LED LAMP,ELECTRICAL,0,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-371,MBerry M3 Portable Drill Machine,ELECTRICAL,10,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
