CATEGORIES,Product Name,Packing Size,Org Price,Sale Price,10% TOTAL BILL,CANH CUT SALE,Thi,Thanh,PER UNIT FINAL,,
ACRYLIC BRUSHES,BS Brush Gel,Size 8,£10.00,£9.00,,OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,3D Brush,Size 4,£10.00,£9.00,,OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,3D Brush,Size 6,£12.00,£10.80,,OFF 10%,TRUE,FALSE,,,
DRILL BIT,Mandrell( lõi bào sần),Standard,£1.00,,,,TRUE,FALSE,,,
DRILL BIT,Mandrell ( lỗi bào sần ),Chống rung - long life,£5.00,£4.00,£3.60,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,Mandrell ( lỗi bào sần ),Chống rung - long life,£5.00,£3.50,£3.15,MUA >=5 OFF 30%,TRUE,FALSE,,,
DRILL BIT,Bào Carbide Triangle X1 (F-Fine) / X2 (M-Medium) / X3(C-Coarse) / Bào phá X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu phẳng Flat),Silver - Sắc hơn Purple,£8.00,£6.40,,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,Bào Carbide Triangle X1 (F-Fine) / X2 (M-Medium) / X3(C-Coarse) / Bào phá X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu phẳng Flat),Silver - Sắc hơn Purple,£8.00,£5.60,,MUA >=5 OFF 30%,TRUE,FALSE,,,
DRILL BIT,Bào Carbide Triangle X1 (F-Fine) / X2 (M-Medium) / X3(C-Coarse) / Bào phá X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu phẳng Flat),Purple - Bền hơn Silver,£8.00,£6.40,,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,Bào Carbide Triangle X1 (F-Fine) / X2 (M-Medium) / X3(C-Coarse) / Bào phá X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu phẳng Flat),Purple - Bền hơn Silver,£8.00,£5.60,,MUA >=5 OFF 30%,TRUE,FALSE,,,
DRILL BIT,Bào Carbide Crystal   X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu kim cương),Silver - Sắc hơn Purple,£8.00,£6.40,,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,Bào Carbide Crystal   X4(XC) / X5 (2XC) / X6 (4XC) ( Đầu kim cương),Silver - Sắc hơn Purple,£8.00,£5.60,,MUA >=5 OFF 30%,TRUE,FALSE,,,
